Year,Name,Position,College,Rating
2012,Camren Hudge,ATH,Delaware Fightin' Blue Hens,NA
2012,Eric Enderson,K,Delaware Fightin' Blue Hens,0.7100
2013,Brody Kern,OC,Delaware Fightin' Blue Hens,NA
2013,Jalen Kindle,OLB,Delaware Fightin' Blue Hens,NA
2013,Wes Hills,RB,Delaware Fightin' Blue Hens,NA
2013,Roman Tatum,CB,Delaware Fightin' Blue Hens,0.8056
2013,Kyle Yocum,PRO,Delaware Fightin' Blue Hens,0.7993
2013,Diante Cherry,WR,Delaware Fightin' Blue Hens,0.7874
2014,Ryley Angeline,RB,Delaware Fightin' Blue Hens,NA
2014,Tre Brown,WR,Delaware Fightin' Blue Hens,NA
2014,Jethro Pepe,TE,Delaware Fightin' Blue Hens,NA
2014,John Nassib,TE,Delaware Fightin' Blue Hens,NA
2014,Andrew Grau,TE,Delaware Fightin' Blue Hens,NA
2014,Bilal Nichols,DT,Delaware Fightin' Blue Hens,NA
2014,Donte Raymond,OLB,Delaware Fightin' Blue Hens,0.7883
2014,Joseph Walker,DUAL,Delaware Fightin' Blue Hens,0.7683
2014,Anthony Jackson,ILB,Delaware Fightin' Blue Hens,0.7500
2014,Malcolm Brown,S,Delaware Fightin' Blue Hens,0.7000
2014,Quai Jefferson,WR,Delaware Fightin' Blue Hens,0.7000
2014,Bryan Reed,OG,Delaware Fightin' Blue Hens,0.7000
2014,Kareem Williams,RB,Delaware Fightin' Blue Hens,0.7000
2015,Nasir Adderley,ATH,Delaware Fightin' Blue Hens,NA
2016,Colby Reeder,S,Delaware Fightin' Blue Hens,0.7926
2017,Nolan Henderson,DUAL,Delaware Fightin' Blue Hens,NA
2017,Gene Coleman,WR,Delaware Fightin' Blue Hens,NA
2017,David Kroll,OT,Delaware Fightin' Blue Hens,NA
2017,Shqipron Idrizi,OLB,Delaware Fightin' Blue Hens,NA
2017,Carter Lynch,OT,Delaware Fightin' Blue Hens,0.8339
2017,Braden Atkinson,TE,Delaware Fightin' Blue Hens,0.8319
2017,Dominick Covatto,DT,Delaware Fightin' Blue Hens,0.7800
2017,Luke Frederick,TE,Delaware Fightin' Blue Hens,0.7783
2017,Tylan McElhenie,WR,Delaware Fightin' Blue Hens,0.7667
2017,Khory Spruill,RB,Delaware Fightin' Blue Hens,0.7667
2017,Thyrick Pitts,WR,Delaware Fightin' Blue Hens,0.7667
2018,Stevon Brown,OG,Delaware Fightin' Blue Hens,0.7798
2019,Ryan Coe,K,Delaware Fightin' Blue Hens,NA
2019,Noah Plack,LB,Delaware Fightin' Blue Hens,NA
2020,Debo Williams,ILB,Delaware Fightin' Blue Hens,0.8093
2021,Pete Melle,SDE,Delaware Fightin' Blue Hens,NA
