Year,College Name,Total Points Per Game,Total Points,Total Touchdowns,1st Downs,Total 1st downs,Rushing 1st downs,Passing 1st downs,1st downs by penalty,3rd down efficiency,3rd down %,4th down efficiency,4th down %,Passing,Comp-Att,Net Passing Yards,Yards Per Pass Attempt,Net Passing Yards Per Game,Passing Touchdowns,Interceptions,Sacks-Yards Lost,Rushing,Rushing Attempts,Rushing Yards,Yards Per Rush Attempt,Rushing Yards Per Game,Rushing Touchdowns,Offense,Total Offensive Plays,Total Yards,Yards Per Game,Returns,Kickoffs: Total,Average Kickoff Return Yards,Punt: Total,Average Punt Return Yards,INT: Total,Average Interception Yards,Kicking,Net Average Punt Yards,Punt: Total Yards,FG: Good-Attempts,Touchback Percentage,Penalties,Total-Yards,Avg. Per Game (YDS),Time of Possession,Possession Time Seconds,Miscellaneous,Fumbles-Lost,Turnover Ratio
2024,Montana Grizzlies,30.4,456,57,,297,147,130,20,91-219,41.55,12-25,48.00,,,,,,,,,,,,,,,,,,,,25-577,23.1,31-447,14.4,17-166,9.8,,39.8,"68-2,708",18-20,65,,96-924,61,,31:23,,0,24
2024,Montana State Bobcats,39.9,479,65,,257,153,94,10,55-123,44.72,8-15,53.33,,,,,,,,,,,,,,,,,,,,21-409,19.5,48-253,4.1,12-106,8.8,,45.9,"34-1,560",10-10,82,,68-600,50,,29:46,,0,15
2024,Morehead State Eagles,21.9,241,32,,183,55,101,27,45-147,30.61,9-22,40.91,,,,,,,,,,,,,,,,,,,,40-774,19.4,12-127,10.6,17-144,8.5,,39.1,"64-2,466",8-8,12,,75-591,53,,27:46,,0,20
2024,Morgan State Bears,15.5,155,19,,144,67,61,16,42-143,29.37,6-21,28.57,,,,,,,,,,,,,,,,,,,,33-643,19.5,14-112,8.0,11-175,15.9,,33.4,"60-2,002",7-7,17,,66-663,66,,29:11,,0,23
2024,Murray State Racers,16.6,183,22,,173,75,82,16,45-136,33.09,8-19,42.11,,,,,,,,,,,,,,,,,,,,31-572,18.5,7-38,5.4,6-113,18.8,,42.9,"55-2,360",9-11,40,,65-663,60,,29:13,,0,10
2024,NC State Wolfpack,26.1,339,41,,240,103,117,20,75-188,39.89,9-15,60.00,,224-379,"2,521",6.7,193.9,19,12,24--155,,478,"2,034",4.3,156.5,19,,881,"4,555",350.4,,24-537,22.4,17-171,10.1,17-178,10.5,,39.5,"71-3,022",18-23,61,,75-602,46,,32:26,,9-3,9
2024,Navy Midshipmen,17.7,212,27,,174,122,48,4,50-173,28.90,16-26,61.54,,102-199,"1,268",6.4,105.7,10,5,24--126,,548,"2,335",4.3,194.6,16,,771,"3,603",300.3,,24-477,19.9,20-176,8.8,10-174,17.4,,40.7,"80-3,583",8-14,18,,68-552,46,,31:15,,20-8,11
2024,Nebraska Cornhuskers,17.5,210,26,,197,115,66,16,59-154,38.31,8-16,50.00,,136-261,"1,631",6.2,135.9,10,16,30--181,,478,"2,122",4.4,176.8,16,,769,"3,753",312.8,,15-335,22.3,16-48,3.0,9-71,7.9,,37.8,"58-2,355",9-15,41,,60-508,42,,30:53,,30-15,-17
2024,Nevada Wolf Pack,17.3,208,23,,200,86,84,30,52-174,29.89,10-23,43.48,,191-345,"2,102",6.1,175.2,6,12,41--247,,443,"1,498",3.4,124.8,14,,829,"3,600",300.0,,28-484,17.3,7-118,16.9,9-287,31.9,,38.6,"66-2,719",15-20,64,,81-702,58,,30:19,,24-8,-4
2024,New Hampshire Wildcats,42.9,472,53,,248,62,168,18,69-157,43.95,19-30,63.33,,,,,,,,,,,,,,,,,,,,35-846,24.2,21-376,17.9,10-147,14.7,,37.0,"36-1,331",14-14,21,,80-775,70,,31:21,,0,15
2024,New Mexico Lobos,27.3,327,43,,277,122,123,32,59-145,40.69,9-14,64.29,,198-353,"2,615",7.4,217.9,17,10,19--119,,440,"2,312",5.3,192.7,26,,812,"4,927",410.6,,28-483,17.3,4-5,1.3,4-3,0.8,,33.4,"53-2,204",10-14,35,,"119-1,076",89,,32:18,,16-5,-7
2024,New Mexico State Aggies,27.5,412,51,,308,150,137,21,74-170,43.53,11-18,61.11,,235-393,"3,206",8.2,213.7,28,10,24--145,,527,"3,000",5.7,200.0,22,,944,"6,206",413.7,,18-337,18.7,17-135,7.9,7-88,12.6,,38.3,"53-2,129",19-24,64,,93-875,58,,31:29,,13-5,-2
2024,Nicholls Colonels,24.3,267,35,,220,86,104,30,61-155,39.36,6-14,42.86,,,,,,,,,,,,,,,,,,,,29-615,21.2,9-45,5.0,16-196,12.3,,39.3,"58-2,281",8-8,14,,71-632,57,,32:09,,0,23
2024,Norfolk State Spartans,34.8,383,32,,193,101,74,18,54-158,34.18,11-24,45.83,,,,,,,,,,,,,,,,,,,,35-679,19.4,3-17,5.7,9-94,10.4,,36.4,"47-1,713",12-12,2,,71-571,51,,31:46,,0,21
2024,North Alabama Lions,22.9,252,35,,228,90,111,27,56-179,31.29,26-44,59.09,,,,,,,,,,,,,,,,,,,,20-288,14.4,14-58,4.1,8-72,9.0,,42.1,"58-2,442",4-4,31,,80-746,67,,29:23,,0,15
2024,North Carolina Tar Heels,34.5,448,55,,319,138,156,25,92-189,48.68,9-20,45.00,,292-460,"3,881",8.4,298.5,26,11,37--184,,498,"2,505",5.0,192.7,28,,995,"6,386",491.2,,14-257,18.4,9-114,13.6,12-64,5.3,,35.5,"47-1,804",22-24,70,,93-862,66,,28:36,,10-6,5
2024,North Carolina A&T Aggies,16.3,179,21,,154,80,55,19,41-133,30.83,5-15,33.33,,,,,,,,,,,,,,,,,,,,39-893,22.9,11-71,6.5,5-15,3.0,,37.9,"50-1,896",11-11,15,,67-559,50,,27:23,,0,11
